  1.0000E-03   1.0000E-02   6.5208E-08   1.7471E-01
  1.5000E-03   1.0000E-02   1.0978E-07   1.9470E-01
  2.0000E-03   1.0000E-02   1.5816E-07   2.0912E-01
  2.5000E-03   1.0000E-02   2.0936E-07   2.2038E-01
  3.0000E-03   1.0000E-02   2.6273E-07   2.2952E-01
  3.5000E-03   1.0000E-02   3.1792E-07   2.3725E-01
  4.0000E-03   1.0000E-02   3.7463E-07   2.4384E-01
  4.5000E-03   1.0000E-02   4.3257E-07   2.4961E-01
  5.0000E-03   1.0000E-02   4.9159E-07   2.5473E-01
  5.5000E-03   1.0000E-02   5.5152E-07   2.5927E-01
  6.0000E-03   1.0000E-02   6.1232E-07   2.6336E-01
  6.5000E-03   1.0000E-02   6.7382E-07   2.6710E-01
  7.0000E-03   1.0000E-02   7.3602E-07   2.7046E-01
  7.5000E-03   1.0000E-02   7.9864E-07   2.7360E-01
  8.0000E-03   1.0000E-02   8.6189E-07   2.7644E-01
  8.5000E-03   1.0000E-02   9.2537E-07   2.7909E-01
  9.0000E-03   1.0000E-02   9.8941E-07   2.8154E-01
  1.0000E-02   1.0000E-02   1.1183E-06   2.8600E-01
  1.5000E-02   1.0000E-02   1.7747E-06   3.0153E-01
  2.0000E-02   1.0000E-02   2.4359E-06   3.1085E-01
  2.5000E-02   1.0000E-02   3.0907E-06   3.1682E-01
  3.0000E-02   1.0000E-02   3.7335E-06   3.2090E-01
  3.5000E-02   1.0000E-02   4.3602E-06   3.2364E-01
  4.0000E-02   1.0000E-02   4.9690E-06   3.2544E-01
  4.5000E-02   1.0000E-02   5.5585E-06   3.2664E-01
  5.0000E-02   1.0000E-02   6.1280E-06   3.2732E-01
  5.5000E-02   1.0000E-02   6.6778E-06   3.2759E-01
  6.0000E-02   1.0000E-02   7.2074E-06   3.2758E-01
  6.5000E-02   1.0000E-02   7.7151E-06   3.2728E-01
  7.0000E-02   1.0000E-02   8.2042E-06   3.2680E-01
  7.5000E-02   1.0000E-02   8.6733E-06   3.2617E-01
  8.0000E-02   1.0000E-02   9.1221E-06   3.2537E-01
  8.5000E-02   1.0000E-02   9.5522E-06   3.2444E-01
  9.0000E-02   1.0000E-02   9.9639E-06   3.2344E-01
